Nom,Alquiler,Extra,Carrer,Direccion,Barri,Districte,Població,Província,Descripcion,Latitud,Longitud
Alquiler de piso en Patraix,900 €/m  ,130 m²   4 hab.   2ª planta exterior,   ,    Patraix     Patraix    ,Patraix   , Patraix   ,Valencia,València,"AMPLIO Y AMUEBLADO EN PATRAIX. Piso en Valencia zona Patraix, 130 m. de superficie, 2 habitaciones dobles y 2 habitaciones simples, 2 baños completos con ducha, propiedad reformada, cocina independiente equipada, salón-comedor con acceso a balcón. Alto, exterior, luminoso. Armarios empotrados, ai...",39.462494,-0.3913172
Alquiler de piso en antonio ponz,590 €/m  ,72 m²   3 hab.   3ª planta exterior,  antonio ponz s/n  ,  antonio ponz s/n   Playa de la Malvarrosa     Poblats Marítims    ,Playa de la Malvarrosa   , Poblats Marítims   ,Valencia,València,"alquiler por temporadas libre junio., julio y agosto precio a negociar. semanas 590 e, zona playa malvarrosa a 100 de la playa, piso alquiler tercera planta sin ascensor, alquiler por temporadas amueblado a. aire acc. a estrenar en salon y habitacion principal, encimera, termo eléctrico, nevera m...",39.4813542,-0.3272807
Alquiler de piso en Beniferri,1.250 €/me,    245 m²   4 hab.   Bajo exterior,   ,    Beniferri     Campanar    ,Beniferri   , Campanar   ,Valencia,València,"Magnifico adosado en la zona de Beniferri. En residencial con zonas comunes, piscina y jardín. Junto al Palacio de Congresos y el Casino. Consta de tres plantas, con un total de 245 m2, 168 m2 de vivienda y sótano, garaje, 77 m2. Con sótano, donde se encuentra el garaje, con cavidad para tres coc...",39.4947883,-0.4066278
Alquiler de piso en Sant Francesc,1.700 €/me,    210 m²   6 hab.   17ª planta exterior,   ,    Sant Francesc     Ciutat Vella    ,Sant Francesc   , Ciutat Vella   ,Valencia,València,"Se alquila gran piso en Plaza San Agustín. Una de las mejores zonas de Valencia, en pleno casco histórico. Piso de 190 m2 ubicado en la 17ª planta en la conocida Finca de Hierro, la más alta del centro, con unas increíbles vistas. Amplio salón con salida al balcón, con orientación Noroeste. Lavad...",39.4690149,-0.3760125
Alquiler de piso en Sant Francesc,1.800 €/me,    195 m²   4 hab.   3ª planta exterior,   ,    Sant Francesc     Ciutat Vella    ,Sant Francesc   , Ciutat Vella   ,Valencia,València,"Excelente piso en Marqués de 2 Aguas, con 2 puertas de entrada (principal y de servicio), todo exterior y con excelentes vistas. Planta 3 con buena orientación. Sus aproximadamente 200 m2, cuentan con 4 habitaciones dobles, 2 baños completos (1 en suite), amplia cocina-office, salón comedor, reci...",39.4690149,-0.3760125
Alquiler de piso en cavite s/n,950 €/m  ,90 m²   3 hab.   2ª planta exterior,  cavite s/n  ,  cavite s/n   Playa de la Malvarrosa     Poblats Marítims    ,Playa de la Malvarrosa   , Poblats Marítims   ,Valencia,València,"Alquiler temporal, libre la segunda quincena de julio 1000 e agosto 1800 e. , vivienda de tres habitaciones, muebles nuevos, cocina a estrenar baño en muy buen estado, electrodomésticos nuevos ( nevera. vitro. horno, encimera, extractor. cristales climalit en toda la casa mosquiteras en todas las...",39.47929,-0.32672
Alquiler de estudio en calle de Pascual i Genís,750 €/m  ,45 m²      4ª planta interior, Carrer de Pascual i Genís  , Carrer de Pascual i Genís   Sant Francesc     Ciutat Vella    ,Sant Francesc   , Ciutat Vella   ,Valencia,València,"Piso recién reformado con todo lujo de detalles. Situado en una finca señorial. La vivienda de 45 m2 se encuentra en 4ª Planta. El piso tiene techos abuhardillados y dispone de salón comedor cocina, 1 habitación, baño completo con cabina de ducha y un altillo/trastero. La vivienda dispone asimis...",39.4691605,-0.373898
"Alquiler de ático en plaza España, 5",1.300 €/me,    177 m²   3 hab.   9ª planta exterior," Plaça España, 5  "," Plaça España, 5   Arrancapins     Extramurs    ",Arrancapins   , Extramurs   ,Valencia,València,"ÁTICO TOTALMENTE EXTERIOR EN PLAZA ESPAÑA de 217m2 c. e. c. según Catastro, según reciente medición tiene 208'73m2 útiles (160m2 piso + 48'53m2 terraza) y 225'20m2 construidos (176'67piso + 48'53 terraza). Orientado al Este. Recibidor cuadrado. SALÓN comedor muy amplio con boisserie y con acceso...",39.4653806,-0.3818451
Alquiler de piso en La Seu,1.300 €/me,    140 m²   4 hab.   2ª planta exterior,   ,    La Seu     Ciutat Vella    ,La Seu   , Ciutat Vella   ,Valencia,València,"Estupenda de vivienda de 140 m2 situada en el corazón de Valencia, junto Plaza de la Virgen, muy cerca del cauce del río, inmejorable zona para vivir, jardines, zonas peatonales, calle tranquila y con todos los servicios, autobuses, restaurantes, farmacias, supermercados, etc. Preciosa finca artí...",39.4761338,-0.3754239
"Alquiler de piso en avenida de la plata, 99",800 €/m  ,70 m²   2 hab.   7ª planta interior," Avinguda de la plata, 99  "," Avinguda de la plata, 99   Mont-Olivet     Quatre Carreres    ",Mont-Olivet   , Quatre Carreres   ,Valencia,València,"Disponible a partir de Enero de 2018. Piso recien reformado y bien luminoso. Ubicado en un 7mo piso y tiene 70 m2, completamente equipado con nevera, cocina electrica, lavavajillas, horno, tv 55"" con cable (TDT), sofacama (donde pueden dormir 2 personas adicionales), internet, lavadora, aire acon...",39.4579363,-0.3608247
"Alquiler de estudio en calle de la Creu Roja, 1",600 €/m  ,77 m²      1ª planta exterior," Carrer de la Creu Roja, 1  "," Carrer de la Creu Roja, 1   Vara de Quart     Patraix    ",Vara de Quart   , Patraix   ,Valencia,València,"Loft amueblado junto al CC Gran Turia, cuenta con terraza, aire acondicionado, plaza de garaje en edificio con zona ajardinada, piscina y conserjeria 24h. Para alquiler de larga estancia. Incluido en el precio gastos de comunidad y suministro de agua. Se solicitará solvencia económica.",39.4604015,-0.413416
"Alquiler de ático en calle MILLARES, 4",540 €/m  ,95 m²   3 hab.   8ª planta exterior," Carrer MILLARES, 4  "," Carrer MILLARES, 4   La Raiosa     Jesús    ",La Raiosa   , Jesús   ,Valencia,València,"Estupendo Ático de 90m2, exterior, se encuentra reformado y amueblado, con calefacción centralizada en toda la vivienda y aire acondicionado en comedor salón, amplio y luminoso, con acceso a maravillosa terraza de 12m2, soleada, tranquila y con vistas despejadas, además 3 dormitorios y 1 baño com...",39.456081,-0.3832848
Alquiler de piso en Trinitat,649 €/m  ,75 m²   3 hab.   1ª planta exterior,   ,    Trinitat     La Saïdia    ,Trinitat   , La Saïdia   ,Valencia,València,"Muy buena ocasiÓn en calle zona alboraya! 70mt2 muy bien aprovechados, 3 habitaciones muy luminoso. con balcón! muy luminoso es una vivienda con mucha luz y espaciosa. toda la vivienda es de origen pero muy bien conservada. una estupenda con mercadona a 1 1minuto andando a 3 minutos andando a l...",39.4819768,-0.3689508
Alquiler de piso en Penya-Roja,1.100 €/me,    135 m²   3 hab.   1ª planta exterior,   ,    Penya-Roja     Camins al Grau    ,Penya-Roja   , Camins al Grau   ,Valencia,València,"Exclusividad en Ciudad de las Artes y las Ciencias Situado en uno de los barrios más emblemáticos de Valencia, Ciudad de las Artes y la Ciencia encontramos esta excelente propiedad de 135 m2 y 10 m2 de terrazas aproximadamente, que fue totalmente reformada con muy buen gusto. Tiene una distribuc...",39.458742,-0.3501258
"Alquiler de piso en calle de la reina violant, 2",1.265 €/me,    114 m²   3 hab.   4ª planta," Carrer de la reina violant, 2  "," Carrer de la reina violant, 2   Sant Pau     Campanar    ",Sant Pau   , Campanar   ,Valencia,València,"VIVIENDA DE OBRA NUEVA EN RESIDENCIAL, no amueblado se encuentra en Calle Reina Violante, 2, 46015, Valencia, situado en el distrito de CAMPANAR, en la planta 4, con ascensor. Es un piso, construido en el año 2008, que tiene 114 m2 de los cuales 101 m2 son útiles. Tiene zona infantil y armarios e...",39.484171,-0.4007001
"Alquiler de piso en calle de Cadis, 54",1.200 €/me,    130 m²   4 hab.   4ª planta exterior," Carrer de Cadis, 54  "," Carrer de Cadis, 54   Russafa     L'Eixample    ",Russafa   , L'Eixample   ,Valencia,València,"DISPONIBLE EN QUINCE DIAS! Preciosa vivienda recien reformada en el centro de valencia y en el barrio de moda de la ciudad. 5° piso, puerta 10. 4 habitaciones dobles, dos de ellas con baño en suite y un tercer baño, todos completos. Vestidor en la habitación principal. Salon comedor con cocina of...",39.4614435,-0.3733949
Alquiler de piso en avenida de França,1.250 €/me,    130 m²   3 hab.   9ª planta exterior, Avinguda de França  , Avinguda de França   Penya-Roja     Camins al Grau    ,Penya-Roja   , Camins al Grau   ,Valencia,València,"En 1989, el entonces presidente de la Generalidad Valenciana, Joan Lerma, asumió la idea de José María López Piñero, catedrático de historia de la ciencia de la Universidad de Valencia, de construir un museo científico en los terrenos del Jardín del Turia que lindaban con el camino de las Moreras...",39.4597712,-0.3492224
Alquiler de piso en calle del doctor manuel candela,750 €/m  ,103 m²   3 hab.   7ª planta exterior, Carrer del doctor manuel candela  , Carrer del doctor manuel candela   L'Amistat     Algirós    ,L'Amistat   , Algirós   ,Valencia,València,"HAZ DE ESTE PISO TU HOGAR, IDEAL PARA TU FAMILIA. SITUADO EN UNA ZONA PRIVILEGIADA DE VALENCIA CON TODOS LOS SERVICIOS AL ALCANCE DE TU MANO. Tu próximo hogar se encuentra situado en una zona privilegiada de Valencia, proxima a el Colegio El Pilar, Guadalaviar, Vicente Gaos, Federico García Lorca...",39.4717259,-0.3486387
Alquiler de piso en Penya-Roja,1.300 €/me,    150 m²   3 hab.   7ª planta,   ,    Penya-Roja     Camins al Grau    ,Penya-Roja   , Camins al Grau   ,Valencia,València,"Paseo Alameda 64. Pios de lujo en 1º linea de Paseo Alameda de 150 m2 construidos. totalmente exterior por lo que es muy luminoso además de ser un piso alto. La vivienda dispone de 3 dormitorios, 2 baños, comedor-salón y cocina con galeria. Todo el suelo de la vivienda es de mármol, aire acondici...",39.458742,-0.3501258
Alquiler de piso en calle de josep benlliure,800 €/m  ,70 m²   3 hab.   2ª planta exterior, Carrer de josep benlliure  , Carrer de josep benlliure   El Cabanyal-El Canyamelar     Poblats Marítims    ,El Cabanyal-El Canyamelar   , Poblats Marítims   ,Valencia,València,"Bonito piso en alquiler. ALQUILER TEMPORAL Con una bonita reforma de hace poco tiempo, por lo que la decoración es totalmente actualizada. La cocina está a estrenar. Dispone de una habitación doble y dos habitaciones normales. Tiene un baño también reformado y con gusto. Es una segunda planta de...",39.4691315,-0.3303109
Alquiler de piso en poeta altet,600 €/m  ,74 m²   3 hab.   6ª planta exterior,  poeta altet  ,  poeta altet   Benimaclet     Benimaclet    ,Benimaclet   , Benimaclet   ,Valencia,València,"""PISO EN ALQUILER PARA MES DE FALLAS, en la zona de BENIMACLET, en la calle Poeta Altet. Consta de un recibidor, salón comedor amplio, 3 dormitorios 2 de ellas dobles con camas dobles y una de ellas con cama individual, todas ellas tienen escritorio, cocina totalmente equipada con nevera, horno,...",39.4868454,-0.3640068
"Alquiler de piso en calle de Jorge Juan, 6",3.100 €/me,    260 m²   4 hab.   4ª planta exterior," Carrer de Jorge Juan, 6  "," Carrer de Jorge Juan, 6   El Pla del Remei     L'Eixample    ",El Pla del Remei   , L'Eixample   ,Valencia,València,"Fantástica vivienda en alquiler en el Pla del Remei, en pleno centro de Valencia en una de las calles mas señoriales de la ciudad. La vivienda cuenta con tres dormitorios dobles y uno individual, tres baños en suite y un aseo de cortesía. La cocina está totalmente equipada con electrodomésticos d...",39.4698985,-0.3698951
"Alquiler de piso en calle de Joan Verdeguer, 61",575 €/m  ,80 m²   2 hab.   2ª planta exterior," Carrer de Joan Verdeguer, 61  "," Carrer de Joan Verdeguer, 61   El Grau     Poblats Marítims    ",El Grau   , Poblats Marítims   ,Valencia,València,"Espacioso piso de dos dormitorios cerca del puerto de Valencia, dispone de 2 habitaciones con cuarto de baño reformado, amplia cocina equipada con electrodomesticos y salon-comedor con salida a la terraza. Se alquila amueblado y equipado. Se encuentra rodeado de suoermercados, colegios, bares y r...",39.4590661,-0.3344369
"Alquiler de piso en avenida de les Corts Valencianes, 43 A",850 €/m  ,123 m²   3 hab.   5ª planta exterior," Avinguda de les Corts Valencianes, 43 A  "," Avinguda de les Corts Valencianes, 43 A   Sant Pau     Campanar    ",Sant Pau   , Campanar   ,Valencia,València,"Magnifico piso con 2 pzs garaje en muy bonita zona con todos los servicios y bien cominicada. Todo exterior(esquinero), soleado, bonitas vistas, muy bien insonorizado. Aire acondicionado por conductos. Agua caliente gas natural. Muy buen estado. Bien amueblado. 3 dormitorios, 2 baños completos, s...",39.49322670000001,-0.4023211
"Alquiler de ático en calle d'Emili Baró, 16",850 €/m  ,95 m²   3 hab.   5ª planta exterior," Carrer d'Emili Baró, 16  "," Carrer d'Emili Baró, 16   Benimaclet     Benimaclet    ",Benimaclet   , Benimaclet   ,Valencia,València,"Fantástico ático, totalmente reformado, exterior y muy luminoso cerca de Viveros. 95m2 distribuidos en un amplio salón comedor con salida a la terraza y cocina office totalmente equipada y con todos los electrodomesticos. 3 estancias. Dormitorio principal, segunda habitación con luz natural y un...",39.4851632,-0.3620167
Alquiler de piso en PLAZA TETUAN s/n,1.700 €/me,    150 m²   3 hab.   2ª planta exterior,  PLAZA TETUAN s/n  ,  PLAZA TETUAN s/n   La Xerea     Ciutat Vella    ,La Xerea   , Ciutat Vella   ,Valencia,València,"Magnífico y señorial piso de techos altos y excelentes calidades, muy amplio en cuanto a estancias, todas ellas muy espaciosas, gran salón al exterior a la plaza de Tetuán con excelentes vistas. Las 3 habitaciones son dobles todas ellas con mucho servicio de armarios empotrados, la cocina dispone...",39.4749861,-0.3698024
Alquiler de piso en Patraix,600 €/m  ,109 m²   3 hab.   2ª planta exterior,   ,    Patraix     Patraix    ,Patraix   , Patraix   ,Valencia,València,"Se alquila piso en la parte mas emblemática de patraix con todos los servicios a la mano como colegios, supermercados, tiendas, medico, farmacia etc tiene tres habitaciones dobles, dos baños completos, cocina amueblada y equipada, galería, amplio vestíbulo, salón comedor para dos ambientes y balc...",39.462494,-0.3913172
Alquiler de piso en calle de la Virgen del Puig,800 €/m  ,100 m²   2 hab.   1ª planta exterior, Carrer de la Virgen del Puig  , Carrer de la Virgen del Puig   El Grau     Poblats Marítims    ,El Grau   , Poblats Marítims   ,Valencia,València,"Disponible para todo el año o por temporada (consultar precio)-Estupendo piso duplex cerca de la playa de la Malvarrosa y ciudad de las artes y las ciencias, en la planta primera tenemos un amplio salón comedor decorado con mucho gusto al igual que toda la vivienda, desde el salón se accede a un...",39.46212010000001,-0.3362838
Alquiler de piso en Passatge de Ventura Feliu,1.000 €/me,    160 m²   4 hab.   4ª planta exterior,  Passatge de Ventura Feliu  ,  Passatge de Ventura Feliu   Arrancapins     Extramurs    ,Arrancapins   , Extramurs   ,Valencia,València,"Piso muy señorial y elegante en una de la mejor zona de Valencia, vivienda de cuatro dormitorios todos ellos muy amplios con armarios empotrados, el principal con baño en suite, otro cuarto de baño completo de servicio al resto de dormitorios, cocina totalmente equipada con salida a galería, la c...",39.4623913,-0.3836585
Alquiler de piso en calle de Cavite s/n,700 €/m  ,108 m²   3 hab.   2ª planta exterior, Carrer de Cavite s/n  , Carrer de Cavite s/n   Playa de la Malvarrosa     Poblats Marítims    ,Playa de la Malvarrosa   , Poblats Marítims   ,Valencia,València,"Ocasión única con este pisazo en la la calle cavite perfectamente ubicado( cerca de las universidades y perfectamente comunicado). SOLO SE ALQUILA A ESTUDIANTES! : ). Para entrar YA. Casa y zona perfecta para estudiantes, con una mesa de estudio en cada una de las habitaciones. Habitaciones muy a...",39.4792962,-0.3267206
Alquiler de ático en calle d'espinosa,1.500 €/me,    150 m²   3 hab.   5ª planta exterior, Carrer d'espinosa  , Carrer d'espinosa   El Botànic     Extramurs    ,El Botànic   , Extramurs   ,Valencia,València,atico 150 m2+60 m2 terraza-3 habitaciones con armarios empotrados-2 baños completos-cocina amplia-instalacion completa a/a frio y calor-garaje incluido en precio.,39.4721501,-0.3850843
Alquiler de piso en La Llum,700 €/m  ,120 m²   3 hab.   5ª planta exterior,   ,    La Llum     L'Olivereta    ,La Llum   , L'Olivereta   ,Valencia,València,"Piso en Valencia, 120 m. de superficie, tres habitaciones antes cuatro, 2 baños completos. Propiedad reformada, con materiales de alta calidad, carpintería interior de lacada en blanco, suelo de parquet, carpintería exterior de aluminio / climalit. La vivienda es muy luminosa, con orientación sur...",39.4682425,-0.4131072
Alquiler de piso en Nou Moles,445 €/m  ,77 m²   3 hab.   5ª planta exterior,   ,    Nou Moles     L'Olivereta    ,Nou Moles   , L'Olivereta   ,Valencia,València,"EXTERIOR A UN PASO DEL PASEO DE LA PETXINA. 3 dormitorios, baño completo con bañera, cocina independiente y salón-comedor con mirador. Exterior, alto y luminoso. RECIÉN PINTADO E INSTALACIONES DE ELECTRICIDAD NUEVAS A ESTRENAR. Aire acondicionado, armarios empotrados, ventanas de aluminio, puerta...",39.4715248,-0.3995606
Alquiler de piso en calle Grigorio Gea,700 €/m  ,85 m²   3 hab.   3ª planta exterior, Carrer Grigorio Gea  , Carrer Grigorio Gea   Les Tendetes     Campanar    ,Les Tendetes   , Campanar   ,Valencia,València,"""Se alquila piso en perfecto estado, completamente reformado. Está ubicado a 10 minutos del casco historico, pegado al rio y la escuela oficial de idiomas, barrio muy tranquilo. Piso tiene en total 85m2, cocina con los electrodomesticos, tres dormitorios amplios, baño completo con plato de ducha...",39.482661,-0.3865664
Alquiler de piso en CAMPANAR,1.200 €/me,    124 m²   3 hab.   4ª planta exterior,  CAMPANAR  ,  CAMPANAR   Campanar     Campanar    ,Campanar   , Campanar   ,Valencia,València,"""Oportunidad Ark&kasa; ALQUILA en zona CAMPANAR! Vivienda EXTERIOR, muy luminoso, ascensor, distribuida en 3 dormitorios, 2 baños, recién reformado para estrenar, con 120 m2 distribuidos en salón-comedor muy luminoso con un ventanal grande y cocina diáfano. Balcón. Situado en CAMPANAR LA FE muy c...",39.4818921,-0.3948498
Alquiler de piso en Exposició,1.300 €/me,    140 m²   3 hab.   5ª planta,   ,    Exposició     El Pla del Real    ,Exposició   , El Pla del Real   ,Valencia,València,"En pleno barrio de Exposición, se alquila piso de 140 m2, sin amueblar, de 3 habitaciones (dos dobles y una individual) y 2 baños, en perfecto estado. La vivienda cuenta con balcón, cocina completa con galería y puerta de servicio y luminoso salón comedor, además de armarios empotrados, suelos de...",39.47681619999999,-0.3642437
Alquiler de piso en Nou Benicalap,800 €/m  ,105 m²   3 hab.   4ª planta exterior,   ,    Nou Benicalap     Benicalap    ,Nou Benicalap   , Benicalap   ,Valencia,València,"SEMINUEVO CON PISCINA Y GARAJE. 3 dormitorios (dos dobles), dos baños completos (uno con ducha y otro con bañera), amplio salón-comedor abierto a zonas comunes y vistas a la piscina. Ampia plaza de garaje para coche y moto incluidas. Zonas comunes: piscina, padel, zonas ajardinadas y zona infanti...",39.4934603,-0.3867769
Alquiler de piso en avenida Francia,1.200 €/me,    140 m²   3 hab.   1ª planta exterior, Avinguda Francia  , Avinguda Francia   Penya-Roja     Camins al Grau    ,Penya-Roja   , Camins al Grau   ,Valencia,València,"""Oportunidad Ark&kasa; ALQUILA en zona PENYA- ROJA, EN PLENA AVENIDA DE FRANCIA! Vivienda EXTERIOR, muy luminoso, 1º altura, CON ASCENSOR, distribuida en 3 dormitorios, 2 baños, salón, comedor. Edificio actual con buenas calidades, comedor espacioso, cocina completa y equipada independiente con c...",39.4597712,-0.3492224
Alquiler de piso en calle XATIVA,750 €/m  ,45 m²   1 hab.   2ª planta exterior, Carrer XATIVA  , Carrer XATIVA   La Roqueta     Extramurs    ,La Roqueta   , Extramurs   ,Valencia,València,"""Oportunidad Ark&kasa; ALQUILA en zona CIUTAT VELLA, EN PLENA CALLE XATIVA! Vivienda EXTERIOR, muy luminoso, 2º altura, CON ASCENSOR, distribuida en 1 dormitorio, 1 baño, salón comedor. Reformada a estrenar con buenas calidades, comedor cocina office y baño completo. Electrodomésticos nuevos a es...",39.4678291,-0.3781655
Alquiler de piso en belchite,450 €/m  ,85 m²   4 hab.   2ª planta exterior,  belchite  ,  belchite   Marxalenes     La Saïdia    ,Marxalenes   , La Saïdia   ,Valencia,València,Piso de cuatro habitaciones y salón comedor con salida a balcón. Exterior. Segunda altura con ascensor. Estrenarás tu la cocina nueva ( están acabando de montarla) y también toda la carpintería exterior de la vivienda es nueva. Se alquila vacío y sin electrodomésticos. Buena zona. Próxima a centr...,39.4869259,-0.3791284
Alquiler de piso en calle DE FORNOLS DE MATARRNYA,780 €/m  ,110 m²   4 hab.   4ª planta exterior, Carrer DE FORNOLS DE MATARRNYA  , Carrer DE FORNOLS DE MATARRNYA   Sant Pau     Campanar    ,Sant Pau   , Campanar   ,Valencia,València,"""Oportunidad Ark&kasa; ALQUILA en zona CAMPANAR, EN CALLE FORNOLS DE MATARRANYA! Vivienda EXTERIOR, luminoso, 4º altura, CON ASCENSOR, distribuida en 4 dormitorios, 2 baño, salón, comedor y cocina independiente. REFORMADO hace poco tiempo con cocina independiente y baños completos. Con todo par...",39.4850849,-0.3990888
Alquiler de piso en La Petxina,850 €/m  ,80 m²   2 hab.   4ª planta,   ,    La Petxina     Extramurs    ,La Petxina   , Extramurs   ,Valencia,València,"Magnífica vivienda amueblada, completamente equipada. La vivienda tiene 80 metros, dispone de un luminoso y amplio salón comedor, dos habitaciones, un baño y una cocina, con todos los electrodomésticos, que comunica con una galería. Es una vivienda muy práctica y funcional, tiene un estilo modern...",39.4741367,-0.3924947
Alquiler de piso en Benicalap,750 €/m  ,96 m²   2 hab.   1ª planta,   ,    Benicalap     Benicalap    ,Benicalap   , Benicalap   ,Valencia,València,"Este gran piso se encuentra ubicado en una de las zonas de mayor expansión de Valencia, Consta de 2 dormitorios con armarios empotrados y 2 baños, uno en suite y el otro recién reformado, con todas las comodidades. La cocina está totalmente equipada. Dispone también de un comedor luminoso. Desde...",39.4935471,-0.3913172
Alquiler de piso en Sant Francesc,1.500 €/me,    186 m²   6 hab.   17ª planta,   ,    Sant Francesc     Ciutat Vella    ,Sant Francesc   , Ciutat Vella   ,Valencia,València,"Piso con una ubicación privilegiada, situado en una de las plantas más altas del Edificio Valencia (Finca de Hierro). De sus seis habitaciones, cuatro, las más amplias, son exteriores, desde las que se puede disfrutar de unas vistas únicas. El piso cuenta con calefacción por radiadores y un apara...",39.4690149,-0.3760125
Alquiler de piso en calle de mossén febrer,550 €/m  ,86 m²   3 hab.   3ª planta exterior, Carrer de mossén febrer  , Carrer de mossén febrer   La Creu Coberta     Jesús    ,La Creu Coberta   , Jesús   ,Valencia,València,"Se alquila Piso con ascensor muy luminoso en la zona de Patraix. Tiene una superficie de 86 m2, distribuidos en 3 habitaciones, 2 baños, comedor y cocina, con electrodomésticos. Es exterior, con una excelente situación cerca de colegio, farmacia, ambulatorio, parque y parada de bus. Interesados p...",39.4513986,-0.3872314
Alquiler de piso en Sant Francesc,1.000 €/me,    109 m²   2 hab.   5ª planta exterior,   ,    Sant Francesc     Ciutat Vella    ,Sant Francesc   , Ciutat Vella   ,Valencia,València,"Vivienda AMUEBLADA de 109m² de superficie distribuidos en 2 dormitorios dobles, 2 baños completos, comedor salón amplio con salida a balcón, cocina equipada, armarios empotrados, aire acondicionado por conductos. Muy luminoso, RECIÉN REFORMADA, lista para entrar a vivir. Plaza garaje opcional. VE...",39.4690149,-0.3760125
Alquiler de piso en Arrancapins,600 €/m  ,100 m²   2 hab.   7ª planta exterior,   ,    Arrancapins     Extramurs    ,Arrancapins   , Extramurs   ,Valencia,València,"Vivienda en alquiler de 100m² de superficie distribuidos en 2 dormitorios dobles, amplio salón comedor, baño completo, cocina con electrodomésticos y galería, séptima planta, muy soleado, buenas vistas, recién pintado. Zona con todos los servicios, cerca del centro. NO DUDES EN CONSULTARNOS! ¿QUÉ...",39.4638077,-0.38543
Alquiler de piso en calle YECLA,525 €/m  ,96 m²   3 hab.   3ª planta exterior, Carrer YECLA  , Carrer YECLA   L'Amistat     Algirós    ,L'Amistat   , Algirós   ,Valencia,València,"""Oportunidad Ark&kasa; ALQUILA en zona L´AMISTAT, EN CALLE YECLA CON CAMPOAMOR! Vivienda EXTERIOR, 3º altura, SIN ASCENSOR, distribuida en 3 dormitorios, 2 baños, salón comedor. La vivienda se encuentra en MUY BUEN ESTADO, dispone de cocina y baños REFORMADOS. Con todo para entrar a vivir, amueb...",39.4724848,-0.3510741
Alquiler de piso en calle de pere cabanes,599 €/m  ,110 m²   4 hab.   2ª planta exterior, Carrer de pere cabanes  , Carrer de pere cabanes   Torrefiel     Rascanya    ,Torrefiel   , Rascanya   ,Valencia,València,"Se alquila Piso con ascensor muy luminoso en la zona de Torrefiel. Tiene una superficie de 110 m2, distribuidos en 4 habitaciones, 1 baño, 1 aseo, comedor y cocina, con electrodomésticos. Es exterior, con una excelente situación cerca de colegio, farmacia, ambulatorio, parque y parada de bus. Se...",39.4944921,-0.3774589
Alquiler de piso en calle del convent de jerusalem,640 €/m  ,65 m²   2 hab.   3ª planta exterior, Carrer del convent de jerusalem  , Carrer del convent de jerusalem   La Roqueta     Extramurs    ,La Roqueta   , Extramurs   ,Valencia,València,"Se alquila Piso muy luminoso en la zona de La Roqueta. Tiene una superficie de 65 m2, distribuidos en 2 habitaciones, 1 baño, comedor y cocina, con electrodomésticos. Es exterior, con una excelente situación cerca de colegio, farmacia, ambulatorio, parque y parada de bus. PRECIOSO, CÉNTRICO Y COQ...",39.466104,-0.3796906
Alquiler de ático en calle d'azcárraga,725 €/m  ,80 m²   2 hab.   5ª planta exterior, Carrer d'azcárraga  , Carrer d'azcárraga   La Petxina     Extramurs    ,La Petxina   , Extramurs   ,Valencia,València,"Se alquila Atico con ascensor muy luminoso en la zona de El Botànic. Tiene una superficie de 80 m2, distribuidos en 2 habitaciones, 1 baño, comedor y cocina, con electrodomésticos. Es exterior, con una excelente situación cerca de colegio, farmacia, ambulatorio, parque y parada de bus. TOTALMENTE...",39.474262,-0.3899902
Alquiler de piso en avenida de pérez galdós,650 €/m  ,85 m²   3 hab.   2ª planta exterior, Avinguda de pérez galdós  , Avinguda de pérez galdós   La Petxina     Extramurs    ,La Petxina   , Extramurs   ,Valencia,València,"Se alquila Piso recién reformado con ascensor muy luminoso en la zona de Angel Gimera. Tiene una superficie de 85 m2, distribuidos en 3 habitaciones, 1 baño, comedor y cocina, con electrodomésticos. Es exterior, con una excelente situación cerca de colegio, farmacia, ambulatorio, parque y parada...",39.4728642,-0.3941977
Alquiler de piso en calle pintor benedito,1.300 €/me,    150 m²   5 hab.   3ª planta exterior, Carrer pintor benedito  , Carrer pintor benedito   Arrancapins     Extramurs    ,Arrancapins   , Extramurs   ,Valencia,València,"Se alquila Piso ideal para estudiantes, con ascensor muy luminoso en la zona de Arrancapins. Tiene una superficie de 150 m2, distribuidos en 5 habitaciones, 2 baños, comedor y cocina, con electrodomésticos. Es exterior, con una excelente situación cerca de colegio, farmacia, ambulatorio, parque y...",39.4656636,-0.3825563
Alquiler de piso en calle de xàtiva,1.200 €/me,    180 m²   5 hab.   9ª planta exterior, Carrer de xàtiva  , Carrer de xàtiva   Sant Francesc     Ciutat Vella    ,Sant Francesc   , Ciutat Vella   ,Valencia,València,"Se alquila Piso con ascensor muy luminoso en la zona de Sant Francesc. Tiene una superficie de 180' m2, distribuidos en 5 habitaciones, 2 baños, comedor y cocina, con electrodomésticos. Es exterior, con una excelente situación cerca de colegio, farmacia, ambulatorio, parque y parada de bus. Inter...",39.4676519,-0.3774187
Alquiler de ático en calle de les barraques del figuero,1.100 €/me,    106 m²   2 hab., Carrer de les barraques del figuero  , Carrer de les barraques del figuero   La Punta     Quatre Carreres    ,La Punta   , Quatre Carreres   ,Valencia,València,"Se alquila Atico con ascensor muy luminoso en la zona de Quatre carreres. Tiene una superficie de 106 m2, distribuidos en 2 habitaciones, 2 baños, comedor y cocina, con electrodomésticos. Es exterior, con una excelente situación cerca de colegio, farmacia, ambulatorio, parque y parada de bus. Fan...",39.4501841,-0.3385094
